"6000","BETHUNE TOWN CEMETERY","France","50.53674, 2.64277"
"6200","PERNOIS BRITISH CEMETERY, HALLOY-LES-PERNOIS","France","50.04565, 2.19113"
"6201","PERNOIS COMMUNAL CEMETERY","France","50.05409, 2.18367"
"6202","VIGNACOURT BRITISH CEMETERY","France","50.00961, 2.20576"
"6203","BERTEAUCOURT-LES-DAMES CHURCHYARD","France","50.04804, 2.15921"
"6204","ST. LEGER-LES-DOMART COMMUNAL CEMETERY","France","50.05817, 2.13905"
"6300","ECOIVRES MILITARY CEMETERY, MONT-ST. ELOI","France","50.34215, 2.68709"
"6400","LA NEUVILLE BRITISH CEMETERY, CORBIE","France","49.91095, 2.48165"
"6401","LA NEUVILLE COMMUNAL CEMETERY, CORBIE","France","49.91719, 2.49011"
"6600","MORBECQUE BRITISH CEMETERY","France","50.69304, 2.51856"
"6601","LE GRAND HASARD MILITARY CEMETERY, MORBECQUE","France","50.70629, 2.51913"
"6602","THIENNES BRITISH CEMETERY","France","50.65332, 2.48013"
"6603","TANNAY BRITISH CEMETERY, THIENNES","France","50.63785, 2.4958"
"6700","CINQ RUES BRITISH CEMETERY, HAZEBROUCK","France","50.72922, 2.50183"
"6701","LA KREULE MILITARY CEMETERY, HAZEBROUCK","France","50.74095, 2.54631"
"6800","LE PEUPLIER MILITARY CEMETERY, CAESTRE","France","50.75255, 2.57783"
"6801","CAESTRE MILITARY CEMETERY","France","50.75903, 2.59701"
"6802","BORRE BRITISH CEMETERY","France","50.73011, 2.58303"
"6900","CROUY BRITISH CEMETERY, CROUY-SUR-SOMME","France","49.96188, 2.08345"
"6901","CROUY COMMUNAL CEMETERY","France","49.96803, 2.08933"
"7000","AUCHONVILLERS MILITARY CEMETERY","France","50.08059, 2.62674"
"7001","AUCHONVILLERS COMMUNAL CEMETERY","France","50.07853, 2.63287"
"7100","PICQUIGNY BRITISH CEMETERY","France","49.94347, 2.13566"
"7101","PICQUIGNY COMMUNAL CEMETERY","France","49.94379, 2.14091"
"7102","LONGPRE-LES-CORPS SAINTS BRITISH CEMETERY","France","50.00731, 1.997"
"7200","VARENNES MILITARY CEMETERY","France","50.0545, 2.52615"
"7300","WARLOY-BAILLON COMMUNAL CEMETERY","France","50.01247, 2.52686"
"7301","WARLOY-BAILLON COMMUNAL CEMETERY EXTENSION","France","50.01311, 2.52895"
"7400","AVESNES-LE COMTE COMMUNAL CEMETERY","France","50.27906, 2.52372"
"7401","AVESNES-LE-COMTE COMMUNAL CEMETERY EXTENSION","France","50.27936, 2.52337"
"7406","IZEL-LES-HAMEAU COMMUNAL CEMETERY","France","50.31593, 2.52383"
"7500","ABBEVILLE COMMUNAL CEMETERY","France","50.12091, 1.83214"
"7600","DAOURS COMMUNAL CEMETERY","France","49.90568, 2.44551"
"7601","QUERRIEU BRITISH CEMETERY","France","49.93493, 2.42977"
"7602","PONT-NOYELLE COMMUNAL CEMETERY","France","49.94231, 2.4436"
"7603","DAOURS COMMUNAL CEMETERY EXTENSION","France","49.90549, 2.44577"
"7700","ABBEVILLE COMMUNAL CEMETERY EXTENSION","France","50.12141, 1.83222"
"7800","HAUTE-AVESNES BRITISH CEMETERY","France","50.32556, 2.63441"
"7801","DAINVILLE BRITISH CEMETERY","France","50.28317, 2.71258"
"7802","DAINVILLE COMMUNAL CEMETERY","France","50.28261, 2.73078"
"7804","WANQUETIN COMMUNAL CEMETERY EXTENSION","France","50.27902, 2.61966"
"7806","WANQUETIN COMMUNAL CEMETERY","France","50.27813, 2.61986"
