http://en.wikipedia.org/wiki/Battle_of_Dover_Strait_(1916),Battle_of_Dover_Strait_(1916),108,20,"51.021389, 1.477222"
http://en.wikipedia.org/wiki/Battle_of_Dover_Strait_(1917),Battle_of_Dover_Strait_(1917),68,46,"51.021389, 1.477222"
http://en.wikipedia.org/wiki/Battle_of_Dujaila,Battle_of_Dujaila,67,33,"32.505556, 45.824722"
http://en.wikipedia.org/wiki/Battle_of_Dujaila_Redoubt,Battle_of_Dujaila_Redoubt,1,1,"32.505556, 45.824722"
http://en.wikipedia.org/wiki/Battle_of_Durazzo_(1915),Battle_of_Durazzo_(1915),82,35,"41.316667, 19.45"
http://en.wikipedia.org/wiki/Battle_of_Durazzo_(1918),Battle_of_Durazzo_(1918),93,16,"41.316667, 19.45"
http://en.wikipedia.org/wiki/Battle_of_El_Buggar_Ridge,Battle_of_El_Buggar_Ridge,42,21,"31.249772, 34.799708"
http://en.wikipedia.org/wiki/Battle_of_Ep%C3%A9hy,Battle_of_Épehy,0,0,"50.0083, 3.1293"
http://en.wikipedia.org/wiki/Battle_of_Erzincan,Battle_of_Erzincan,82,49,"39.746389, 39.491389"
http://en.wikipedia.org/wiki/Battle_of_Es_Sinn,Battle_of_Es_Sinn,50,22,"32.505556, 45.824722"
http://en.wikipedia.org/wiki/Battle_of_Flirey,Battle_of_Flirey,25,19,"48.8764, 5.8483"
http://en.wikipedia.org/wiki/Battle_of_Fromelles,Battle_of_Fromelles,377,179,"50.60625, 2.854694"
http://en.wikipedia.org/wiki/Battle_of_Galicia,Battle_of_Galicia,185,106,"49.85, 24.016667"
http://en.wikipedia.org/wiki/Battle_of_Gallipoli,Battle_of_Gallipoli,3,3,"40.367222, 26.455"
http://en.wikipedia.org/wiki/Battle_of_Ginchy,Battle_of_Ginchy,36,32,"50.0242, 2.833"
http://en.wikipedia.org/wiki/Battle_of_Grand_Couronné,Battle_of_Grand_Couronné,14,13,"48.666667, 6.166667"
http://en.wikipedia.org/wiki/Battle_of_Gully_Ravine,Battle_of_Gully_Ravine,117,56,"40.078333, 26.188611"
http://en.wikipedia.org/wiki/Battle_of_Gumbinnen,Battle_of_Gumbinnen,96,74,"54.6, 22.2"
http://en.wikipedia.org/wiki/Battle_of_Hanna,Battle_of_Hanna,35,22,"32.508604,46.520805"
http://en.wikipedia.org/wiki/Battle_of_Heligoland_(1914),Battle_of_Heligoland_(1914),2,2,"54.166667, 8.066667"
http://en.wikipedia.org/wiki/Battle_of_Heligoland_Bight_(1914),Battle_of_Heligoland_Bight_(1914),315,160,"54.166667, 8.066667"
