"30";"/wiki/Andrew_Beauchamp-Proctor";"Andrew Beauchamp-Proctor";"/wiki/No._84_Squadron_RFC";"No. 84 Squadron RFC";"1918-08-08";"false";"France";"0";"0"
"31";"/wiki/William_Beesley";"William Beesley";"/wiki/Prince_Consort%27s_Own_(Rifle_Brigade)";"Prince Consort's Own (Rifle Brigade)";"1918-05-08";"false";"Bucquoy, France";"50.1408";"2.7094"
"32";"/wiki/Douglas_Walter_Belcher";"Douglas Belcher";"/wiki/London_Regiment";"London Regiment";"1915-05-13";"false";"Wieltje-St. Julien Road, Belgium";"50.8824";"2.92803"
"33";"/wiki/Donald_Simpson_Bell";"Donald Bell";"/wiki/Green_Howards";"Green Howards";"1916-07-05";"false";"Somme, France";"50.0205";"2.6926"
"34";"/wiki/Eric_Norman_Frankland_Bell";"Eric Bell";"/wiki/Royal_Inniskilling_Fusiliers";"Royal Inniskilling Fusiliers";"1916-07-01";"true";"Thiepval, France";"50.0553";"2.6897"
"35";"/wiki/Richard_Bell-Davies";"Richard Bell-Davies";"/wiki/No._203_Squadron_RAF";"No. 203 Squadron RAF";"1915-11-19";"false";"Ferrijik Junction, Bulgaria";"40.8899";"26.1842"
"36";"/wiki/Edward_Donald_Bellew";"Edward Bellew";"/wiki/7th_Battalion,_CEF";"7th Battalion, CEF";"1915-04-24";"false";"Kerselaere, Belgium";"50.891";"2.979"
"37";"/wiki/Eugene_Paul_Bennett";"Eugene Bennett";"/wiki/Worcestershire_Regiment";"Worcestershire Regiment";"1916-11-05";"false";"Le Transloy, France";"50.06";"2.8942"
"38";"/wiki/Philip_Bent";"Philip Bent";"/wiki/Leicestershire_Regiment";"Leicestershire Regiment";"1917-10-01";"true";"Polygon Wood, Belgium";"50.8517";"2.98639"
"39";"/wiki/Spencer_John_Bent";"Spencer Bent";"/wiki/East_Lancashire_Regiment";"East Lancashire Regiment";"1914-11-01";"false";"Le Gheer, Belgium";"50.7328";"2.91206"
"40";"/wiki/Bertram_Best-Dunkley";"Bertram Best-Dunkley";"/wiki/Lancashire_Fusiliers";"Lancashire Fusiliers";"1917-07-31";"true";"Wieltje, Belgium";"50.8705";"2.91807"
"41";"/wiki/Edward_Bingham";"Edward Bingham";"/wiki/HMS_Nestor_(1915)";"HMS Nestor (1915)";"1916-05-31";"false";"Battle of Jutland, Denmark";"56.7";"5.867"
"42";"/wiki/Frederick_Birks";"Frederick Birks";"/wiki/6th_Battalion_(Australia)";"6th Battalion (Australia)";"1917-09-21";"false";"Ypres, Belgium";"50.85";"2.883"
"43";"/wiki/Billy_Bishop";"Billy Bishop";"/wiki/No._60_Squadron_RAF";"No. 60 Squadron RAF";"1917-06-02";"false";"Cambrai, France";"50.1767";"3.2356"
"44";"/wiki/William_Davidson_Bissett";"William Bissett";"/wiki/Princess_Louises%27s_(Argyll_and_Sutherland_Highlanders)";"Princess Louises's (Argyll and Sutherland Highlanders)";"1918-10-25";"false";"Maing, France";"50.309";"3.486"
"45";"/wiki/Arthur_Seaforth_Blackburn";"Arthur Blackburn";"/wiki/10th_Battalion_(Australia)";"10th Battalion (Australia)";"1916-07-23";"false";"Pozieres, France";"50.0414";"2.7236"
"46";"/wiki/William_Anderson_Bloomfield";"William Bloomfield";;"new";"1916-08-24";"false";"Mlali, Tanganyika";"-6.2";"36.417"
"47";"/wiki/Charles_George_Bonner";"Charles Bonner";"/wiki/HMS_Dunraven";"HMS Dunraven";"1917-08-08";"false";"Bay of Biscay, Atlantic Ocean";"0";"0"
"48";"/wiki/Frederick_Charles_Booth";"Frederick Booth";"/wiki/British_South_Africa_Police";"British South Africa Police";"1917-02-12";"false";"Johannesbruck, Tanganyika";"-10.7018";"35.251"
